FIPS,COUNTYNAME,STATE,TIME_ZONE,CWA,FE_AREA,LATITUDE,LONGITUDE,PERCENTAGE_GBIF_OBS_ON_AG_LAND,PERCENTAGE_OF_AG_LAND_WITHIN_1KM_GBIF_OBS,PERCENT_AGRICULTURE,GEOMEAN_SCORE,TOTAL_GBIF_OBS_COUNT_2023,GBIF_AG_OBS_COUNT_2023,GBIF_OBS_DENSITY_KM2,OBSERVATIONAL_DISPARITY,PERCENT_DEVELOPED,PERCENT_FOREST,AREA_KM2,AG_AREA_KM2,COVERED_AG_AREA_KM2,POPULATION_DENSITY_2023_KM2,POPULATION_ESTIMATE_2023,MEDIAN_HOUSEHOLD_INCOME_2022,MEDIAN_HOUSEHOLD_INCOME_PERCENT_OF_STATE_TOTAL_2022,PERCENT_ADULTS_BACHELORS_DEGREE_2023,PERCENT_POVERTY_2023,UNEMPLOYMENT_RATE_2023,RANK
21113,Jessamine,KY,E,LMK,cc,37.872,-84.5809,0.55659,0.86262,0.60359,0.66176,15648,8710,34.62540,1.08444,0.17345,0.21216,451.9305,272.7807,235.3056,121.74,55017,69200,1.168,0.324,0.103,0.035,Top
48473,Waller,TX,C,HGX,se,30.011,-95.9877,0.57399,0.65852,0.68560,0.63755,28106,16133,20.93097,1.19445,0.12428,0.09321,1342.7915,920.6179,606.2408,47.33,63553,75200,1.041,0.266,0.139,0.046,Top
27147,Steele,MN,C,MPX,sc,44.0223,-93.226,0.59786,0.46064,0.83779,0.61334,10958,6551,9.79100,1.40131,0.09649,0.02466,1119.2294,937.6792,431.9366,33.43,37421,75500,0.917,0.297,0.078,0.030,Top
21215,Spencer,KY,E,LMK,cc,38.0325,-85.3279,0.93721,0.51729,0.46350,0.60796,28260,26486,56.89373,0.49455,0.09754,0.41286,496.7076,230.2240,119.0935,41.33,20531,102000,1.714,0.221,0.070,0.037,Top
48051,Burleson,TX,C,HGX,se,30.4924,-96.621,0.56408,0.46510,0.66805,0.55963,27519,15523,15.67600,1.18432,0.07214,0.18276,1755.4960,1172.7591,545.4554,11.09,19475,62100,0.859,0.231,0.139,0.036,Top
39101,Marion,OH,E,CLE,nc,40.5873,-83.1609,0.39966,0.54693,0.78108,0.55476,38363,15332,36.64805,1.95436,0.12747,0.07266,1046.7852,817.6230,447.1859,61.95,64851,59000,0.897,0.137,0.160,0.034,Top
29011,Barton,MO,C,SGF,sw,37.5023,-94.3471,0.64031,0.32367,0.79860,0.54904,6851,4387,4.43258,1.24721,0.05795,0.10079,1545.6932,1234.3906,399.5295,7.59,11731,49900,0.770,0.180,0.155,0.030,Top
17153,Pulaski,IL,C,PAH,ss,37.2228,-89.1267,0.31538,0.84679,0.61700,0.54823,4942,1559,9.38076,1.95637,0.07415,0.17825,526.7953,325.0327,275.2353,9.32,4911,44900,0.585,0.119,0.224,0.077,Top
17007,Boone,IL,C,LOT,nc,42.3231,-88.8234,0.30963,0.64873,0.78994,0.54138,12276,3801,16.80979,2.55124,0.14071,0.04415,730.3118,576.9025,374.2534,72.85,53202,83700,1.091,0.232,0.108,0.070,Top
39117,Morrow,OH,E,CLE,nc,40.524,-82.7941,0.28270,0.80463,0.67119,0.53447,12608,3564,11.95274,2.37421,0.09898,0.21917,1054.8580,708.0101,569.6873,33.74,35595,71800,1.092,0.182,0.108,0.035,Top
